issabaa#sis sais bisas;bissa;isbas baisas;baissa;basais abaissa
irtnedb#rit;tir;tri trin inter;nitre;rient;tenir;terni;trine dirent;rendit;rident brident
irsedbg#ris;sir ires;reis;ries;sire redis;rides brides bridges
orsindb#ors rois;rosi;soir irons;noirs;orins;rions dirons;nordis;ridons;rondis bridons
irtnefb#rit;tir;tri trin inter;nitre;rient;tenir;terni;trine firent;fretin brifent
orsinfb#ors rois;rosi;soir irons;noirs;orins;rions frison brifons
rsuibag#rus;sur suri bruis;rubis;subir airbus;subira briguas
airlbli#air;ira;rai;ria lira;rail;rial baril;blair;ribla brilla brillai
irsalbl#ris;sir airs;iras;rais;rias;sari liras;rails;rials;salir barils;blairs;riblas brillas
eirlbrl#ire;rie lier;lire;riel biler;liber;libre;rible ribler briller
irselbl#ris;sir ires;reis;ries;sire relis;riels libers;libres;ribles brilles
imreadb#mir mire;rime aimer;maire;marie;ramie admire;damier brimade
irsmaib#ris;sir mirs maris;miras;ramis;rimas mirais;rimais brimais
artmiib#art;rat tram matir;trima mirait;rimait;trimai brimait;timbrai
irtnamb#rit;tir;tri trin nitra;riant;tarin;train mirant;rimant brimant
imséreb#mis émis;misé émirs;mirés;rimés émeris;mirées;remisé;rimées brimées
irtnemb#rit;tir;tri trin inter;nitre;rient;tenir;terni;trine mentir;mirent;riment briment
orsinmb#ors rois;rosi;soir irons;noirs;orins;rions mirons;rimons brimons
inurebg#uni unir nuire;ruine;urine bruine;brunie;burine bringue
rsuieqb#rus;sur suri sieur requis;risque bisquer;briques;brisque
irtsaib#rit;tir;tri tirs;tris sitar;stria;taris;tiras;trais;trias striai;tirais;triais bistrai;brisait
irtsnab#rit;tir;tri tirs;tris trins instar;nitras;riants;tarins;trains;transi brisant
irtsneb#rit;tir;tri tirs;tris trins nitres;retins;sentir;ternis;trines brisent
irserba#ris;sir ires;reis;ries;sire rires briser braiser;brasier;brisera
rsuieqb#rus;sur suri sieur requis;risque bisquer;briques;brisque
ostrilb#sot rots;sort;tors rosit;sorti;trios;trois torils;triols bristol
orsechb#ors ores;oser;rose;sore corse;ocres;score roches broches
orsidab#ors rois;rosi;soir doris dorais;radios;rodais bordais;brodais
ortandb#rot rota orant;raton dorant;rodant;tondra bordant;brodant
oséredb#osé éros;rosé orées;rosée dorées;érodes;rodées bordées;brodées;dérobes;désorbe;obséder
ortendb#rot rote noter;notre dorent;dronte;endort;retond;rodent;tondre bordent;brodent
derorba#der dore;rode dorer;ordre;roder border;broder;rebord aborder;bordera;brodera;reborda;rebroda
erurodb#rue;ure ruer rouer doreur;dorure;ordure bordure;bourder;brodeur
derozib#der dore;rode dorez;rodez doriez;rodiez bordiez;brodiez
ortineb#rot trio iront;rotin entoir;orient broient;obtenir;robinet
borerai#rob bore;orbe;robe rober arbore;arrobe;robera broiera;roberai
ortmeba#rot mort morte;tomer tomber;trombe bromate;retomba;tombera
enzorbr#nez;zen onze;zone ornez;zoner bornez;bronze bronzer
enzorbz#nez;zen onze;zone ornez;zoner bornez;bronze bronzez
osésreb#osé osés rosés;rossé essoré;rosées;rossée brossée;ébosser
orssesb#ors sors essor;roses;rosse;sores essors;rosses brosses
sturoeb#sut;tus ruts tours;trous outres;rouets;routes;troues boutres;brouets;broutes;obstrue;obtures;robuste;tourbes
ssuroeb#sus surs suros ourses;rousse;soeurs bosseur;bossuer;bourses;brousse
rtuoiba#rut tour;trou rouit butoir aboutir;broutai;obturai;tourbai
sturoba#sut;tus ruts tours;trous brouts;butors broutas;obstrua;obturas;tourbas
ttuâorb#tut tuât touât outrât;routât;trouât broutât;obturât;tourbât
tuéoreb#tué toué outré;routé;troué outrée;routée;trouée broutée;ébouter;obturée;rebouté
rtuoerb#rut tour;trou outre;rouet;route;touer;troue outrer;retour;roture;router;trouer brouter;obturer;tourber
sturoeb#sut;tus ruts tours;trous outres;rouets;routes;troues boutres;brouets;broutes;obstrue;obtures;robuste;tourbes
tuésorb#tué tués toués outrés;résout;routés;troués broutés;obstrué;obturés
tuzeorb#zut tuez touez outrez;routez;trouez broutez;obturez;tourbez
inurebc#uni unir nuire;ruine;urine bruine;brunie;burine brucine;incuber
rtubinâ#rut brut bruit;tribu brunit;tribun;turbin bruinât;burinât
rsuineb#rus;sur suri surin ruines;surine;urines;usiner bruines;brunies;burines
rtubiai#rut brut bruit;tribu abruti;bitura;bruita biturai;bruitai
sturiba#sut;tus ruts surit bruits;tribus abrutis;bituras;bruitas
sturieb#sut;tus ruts surit situer;truies bitures;bruites;bustier
tuzeibr#zut tuez tuiez bizute;butiez;tubiez biturez;bizuter;bruitez
airlbûs#air;ira;rai;ria lira;rail;rial baril;blair;ribla brûlai brûlais
airlbût#air;ira;rai;ria lira;rail;rial baril;blair;ribla brûlai brûlait
sturenb#sut;tus ruts suret rusent;surent;tuners;turnes brunets
rsuineb#rus;sur suri surin ruines;surine;urines;usiner bruines;brunies;burines
rtuelba#rut tuer luter;relut bluter;truble blutera;brutale;tableur;tabuler
ssuonib#sus ossu;sous suons;usons suions;usions bousins;buisson
erulgab#rue;ure leur;relu luger galure;gauler;largue;lugera blaguer;bulgare
rsuenbk#rus;sur rues;ruse;suer;sure;ures;user nurse;urnes brunes bunkers
inuraib#uni unir nuira;ruina;unira;urina nuirai;ruinai;unirai;urinai burinai
rtubinâ#rut brut bruit;tribu brunit;tribun;turbin bruinât;burinât
rsuineb#rus;sur suri surin ruines;surine;urines;usiner bruines;brunies;burines
eruzinb#rue;ure ruez ruiez nuirez;ruinez;unirez;urinez burinez
sturieb#sut;tus ruts surit situer;truies bitures;bruites;bustier
stuâmeb#sut;tus suât;usât musât muâtes;tuâmes butâmes;tubâmes
rtueiba#rut tuer truie biture;bruite abrutie;buterai;rebutai;tubaire;tuberai
stureba#sut;tus ruts suret brutes;rebuts;turbes arbuste;buteras;rebutas;tuberas
rtuebez#rut tuer brute;buter;rebut;tuber;turbe rebute buterez;rebutez;tuberez
rtubine#rut brut bruit;tribu brunit;tribun;turbin butiner;intuber;tribune;turbine
stuineb#sut;tus suit nuits;suint nuites;suinte butines;intubes
stuonib#sut;tus oust;tous tonus;tuons tuions butions;tubions
btuatsi#but;tub buta;tuba battu;butta battus;buttas buttais;titubas
etubtra#eut;tue bute;tube butte butter batteur;batture;buttera;rebattu
stuonbt#sut;tus oust;tous tonus;tuons butons;tubons buttons
aerclab#are acre;arec;race caler;lacer;racle calera;lacera;recala cabaler
elsacab#les;sel ales;sale cales;celas;laces salace cabales
acrneab#arc;car cran ancre;caner;carne;cerna;crane;encra;nacre;rance arcane;canera cabaner
artecab#art;rat rate;tare acter;carte;recta;trace actera cabaret
eirlbcâ#ire;rie lier;lire;riel biler;liber;libre;rible crible câblier
notiacb#ont;ton oint notai aconit;action;cation;contai cabotin
irtabac#rit;tir;tri tari;tira;tria brait abrita cabrait
artencb#art;rat rate;tare antre;entra;renta canter;cantre;carnet;centra;crante;encart;nectar;tancer;tanrec cabrent
imsadac#mis amis;mais;misa;sima admis;daims damais cadmias
imreadc#mir mire;rime aimer;maire;marie;ramie admire;damier cadmier
imsédac#mis émis;misé démis;médis médias;médisa cadmiés;décimas
irsadac#ris;sir airs;iras;rais;rias;sari diras;isard;radis;raids;ridas radais;radias cadrais;cardais;cardias
irtaadc#rit;tir;tri tari;tira;tria ratai;taira;tarai radait;tardai cadrait;cardait
astradc#tas arts;rats;star;tsar rasta;ratas;taras tardas cadrats
erésadc#rée rées rasée dérase;radées cadrées;cardées;céderas;recédas
artendc#art;rat rate;tare antre;entra;renta ardent;radent;tendra cadrent;cardent
aerrdca#are erra;rare rader cadrer;carder cadrera;cardera;recarda
esucacm#eus;sue;use suce cause;sauce;sceau accuse caecums
artecea#art;rat rate;tare acter;carte;recta;trace cetera caetera
ostnacf#sot sont;tons notas;osant;taons actons;canots;contas;tacons;toscan caftons
acrnadg#arc;car cran ancra;crana;nacra cadran;canard;cardan cagnard
egranca#erg;reg gare;rage grena;nager;range cagner ancrage;cagnera;carnage;garance
irsecha#ris;sir ires;reis;ries;sire cires;cries;crise;scier riches cahiers;chaires;chieras
ilsalca#ils;lis;sil ails;lais;lias;sali;sial lilas cillas alcalis;caillas
eilclra#lei;lie ciel;lice cille ciller cailler;cillera;craille
ilsecla#ils;lis;sil lies;lise ciels;lices;sicle cilles;scille cailles;scellai
esuaqcï#eus;sue;use seau asque;saque caques;casque;sacque caïques
emsalca#mes mesa;sema lames calmes;clames;clamse;macles calames
emsalcâ#mes mesa;sema lames calmes;clames;clamse;macles calâmes
estlacâ#est;set;tes lest;tels lesta;tales caltes;castel;lacets calâtes
ilpenac#pli pile;plie plein alpine;lapine;plaine calepin;pinacle
eirlaca#ire;rie lier;lire;riel liera;relia calier;claire calerai;lacerai;raciale;recalai
arselca#ars;ras ares;rase;sera laser;saler racles;sarcle caleras;laceras;recalas;sacrale
aelczre#ale cale;cela;lace calez;lacez raclez calerez;lacerez;recalez
estlaca#est;set;tes lest;tels lesta;tales caltes;castel;lacets caletas;lactase
altéece#lat étal;talé étale;talée caleté;caltée;éclate;lactée caletée
artelec#art;rat rate;tare artel;ratel;taler alerte;relate caleter;rectale
estléca#est;set;tes lest;tels lesté sélect caletés;caltées;célesta;éclates;lactées
airlcba#air;ira;rai;ria lira;rail;rial clair cribla calibra
eirlbca#ire;rie lier;lire;riel biler;liber;libre;rible crible bercail;calibre
ilsecac#ils;lis;sil lies;lise ciels;lices;sicle celais;cisela;claies calices
irselac#ris;sir ires;reis;ries;sire relis;riels lieras;lisera;relais;relias;resali caliers;claires
ilsfcae#ils;lis;sil fils flics fiscal;lascif califes;faciles;ficelas;fiscale
nosilca#nos;son ions;soin linos;lions;nolis;solin colins;nicols calions;lacions
imslaca#mis mils islam;limas;mails;malis calmis calmais;camails;clamais;clamsai;maclais
alsémec#las lésa;salé lamés almées;lamées calmées;clamées;maclées
emralca#mer;rem amer;arme;mare;rame lamer;larme calmer;clamer;macler calmera;caramel;clamera;maclera
notalic#ont;ton nota;taon talon;tonal laiton;talion calotin;coltina
iltsaac#lit lits laits;lista;litas;salit alitas;salait;talais caltais
estléca#est;set;tes lest;tels lesté sélect caletés;caltées;célesta;éclates;lactées
artelca#art;rat rate;tare artel;ratel;taler calter;cartel;rectal caltera
ostnalc#sot sont;tons notas;osant;taons talons;tonals caltons
imslaca#mis mils islam;limas;mails;malis calmis calmais;camails;clamais;clamsai;maclais
emradac#mer;rem amer;arme;mare;rame damer;drame damera camarde
imraacb#mir mari;mira;rami;rima armai;maria;ramai carmai;cramai cambrai
arémecb#réa armé;ramé armée;marée;ramée carmée;cérame;cramée cambrée
aerrmcb#are erra;rare armer;marre;ramer carmer;cramer cambrer
emsracb#mes mers;rems amers;armes;mares;maser;rames carmes;crames;cramse;macres cambres
arésmcb#réa rasé;réas armés;ramés carmés;cramés;cramsé;crémas cambrés;crambés
emrazcb#mer;rem amer;arme;mare;rame armez;ramez carmez;cramez cambrez
arésmca#réa rasé;réas armés;ramés carmés;cramés;cramsé;crémas caméras;macéras
nosmiac#nos;son noms moins aimons;amnios;maison camions;maniocs
prueamc#pur peur;puer;pure;repu apure;parue;puera paumer campeur
arémchp#réa armé;ramé carmé;cramé;créma charmé;marché camphré
acrnada#arc;car cran ancra;crana;nacra cadran;canard;cardan canarda
arécnad#réa créa;racé;réac ancré;carné;crané;créna;écran;nacré caréna canardé;dracéna
irscnaa#ris;sir cris crins cairns;crains;rancis ancrais;arnicas;canaris;cranais;nacrais;racinas;ricanas
estncaâ#est;set;tes nets;sent cents casent;stance;tances canâtes
arscnec#ars;ras arcs;cars crans ancres;carnes;cernas;cranes;encras;nacres;rances cancers;cancres
arscnec#ars;ras arcs;cars crans ancres;carnes;cernas;cranes;encras;nacres;rances cancers;cancres
airndca#air;ira;rai;ria rani dinar;drain;nadir;radin candir candira
eirncaa#ire;rie nier;rein;rien rince cernai;encira;encrai;racine;rancie;ricane acarien;canerai
arscnea#ars;ras arcs;cars crans ancres;carnes;cernas;cranes;encras;nacres;rances arcanes;caneras;caserna;rasance
asvneac#vas vans avens;sanve envasa;savane avances;canevas;encavas
nsueagc#nus;uns nues;unes aunes;saune;senau nuages cangues
ansinec#ans anis;nais;nias;sain nains;ninas insane;naines anciens;canines
nosinac#nos;son ions;soin nions;sinon anions;sonnai canions;connais
essniac#ses sens seins;siens anises;naisse;niasse;saines;sanies canisse;cassine
ansinca#ans anis;nais;nias;sain nains;ninas canins cannais
acrnena#arc;car cran ancre;caner;carne;cerna;crane;encra;nacre;rance canner cannera
epsonca#sep opes;peso;pose nopes;opens;peson ponces canopes
notiaca#ont;ton oint notai aconit;action;cation;contai canotai
ostnaca#sot sont;tons notas;osant;taons actons;canots;contas;tacons;toscan canotas
ortenca#rot rote noter;notre conter;contre;cornet;ocrent canoter;contera;raconte
ostneca#sot sont;tons notes;osent contes canotes;octanes;toscane
estranc#est;set;tes rets;sert aster;astre;rates;resta;tares;tarse;tersa antres;entras;estran;rasent;rentas;transe canters;cantres;carnets;centras;crantes;encarts;nectars;sacrent;tanrecs
estranc#est;set;tes rets;sert aster;astre;rates;resta;tares;tarse;tersa antres;entras;estran;rasent;rentas;transe canters;cantres;carnets;centras;crantes;encarts;nectars;sacrent;tanrecs
erunalc#rue;ure nuer;urne nuera;urane aluner;neural canuler;lanceur;lucarne
nsuleac#nus;uns nuls lunes alunes;aulnes canules;lacunes;lucanes
alpecab#pal alpe;lape;pale;pela clape;place capela;palace capable
aptéecn#pat péta;tapé épate;étape;tapée captée;épacte capéent
alpecan#pal alpe;lape;pale;pela clape;place capela;palace capelan
apsleca#pas laps;pals alpes;lapes;pales;pelas;salep clapes;clapse;places;scalpe capelas;palaces;pascale
alpéece#pal lapé épale;épela;lapée;palée capelé;placée capelée
aprelce#par pare laper;parle;perla claper;placer capeler;percale;replace
epsélac#sep pesé pelés épales;épelas;lapées;palées;sépale capelés;placées;scalpée
alpezce#pal alpe;lape;pale;pela lapez clapez;placez capelez
optniac#pot;top pont pinot;piton;point;potin nopait;pointa;pontai;potina capiton;copiant
pstoaca#pst pots;spot;stop;tops optas;posta;topas capots capotas
ortpeac#rot port;trop opter;porte;prote;toper;trope optera;topera capoter
pstoeca#pst pots;spot;stop;tops optes;poste;potes;topes coptes capotes
optezac#pot;top opte;pote;tope optez;topez topaze capotez
eirpcna#ire;rie pire;prie;ripe repic pincer;prince caprine;carpien;pincera
irspanc#ris;sir pris pairs;paris;parsi;prias;prisa;ripas rapins caprins
astipac#tas asti;sait;tais;tisa pista;tapis sapait;tapais captais;pactisa
epsétac#sep pesé pesté épates;étapes;pétase;tapées aspecté;captées;épactes
artpeca#art;rat part;rapt parte;pater;taper capter captera
pstonac#pst pots;spot;stop;tops ponts pontas;posant;tapons captons
esucacp#eus;sue;use suce cause;sauce;sceau accuse capuces
asuiqca#sua;usa suai;usai quais;quasi acquis caquais;casquai;sacquai
esuaqéc#eus;sue;use seau asque;saque saquée caquées;casquée;sacquée
arsecba#ars;ras ares;rase;sera acres;arecs;caser;crase;races;sacre;scare cabres;crabes carabes
cirnaab#cri crin cairn;ranci ancrai;arnica;canari;cranai;nacrai;racina;ricana carabin
orscaac#ors cors;rocs corsa;ocras;oscar casoar accoras;caracos
emralca#mer;rem amer;arme;mare;rame lamer;larme calmer;clamer;macler calmera;caramel;clamera;maclera
erurcab#rue;ure ruer curer;recru arcure;curare;curera carbure
arscnac#ars;ras arcs;cars crans ancras;cranas;nacras carcans
arselcc#ars;ras ares;rase;sera laser;saler racles;sarcle carcels;cerclas
irsadac#ris;sir airs;iras;rais;rias;sari diras;isard;radis;raids;ridas radais;radias cadrais;cardais;cardias
irtaadc#rit;tir;tri tari;tira;tria ratai;taira;tarai radait;tardai cadrait;cardait
erésadc#rée rées rasée dérase;radées cadrées;cardées;céderas;recédas
artendc#art;rat rate;tare antre;entra;renta ardent;radent;tendra cadrent;cardent
aerrdca#are erra;rare rader cadrer;carder cadrera;cardera;recarda
airldac#air;ira;rai;ria lira;rail;rial laird;liard lardai;liarda;radial cardial;radical
irsadac#ris;sir airs;iras;rais;rias;sari diras;isard;radis;raids;ridas radais;radias cadrais;cardais;cardias
irtedca#rit;tir;tri rite;tire;trie redit dicter;direct cardite;dictera
emracês#mer;rem amer;arme;mare;rame carme;crame;macre carême carêmes
cirénaa#cri ciré;crié écrin;rincé crénai;raciné;ricané carénai
aréscna#réa rasé;réas césar;créas;racés;réacs;sacré;sérac ancrés;carnés;cranés;crénas;écrans;nacrés carénas
acrneaç#arc;car cran ancre;caner;carne;cerna;crane;encra;nacre;rance arcane;canera carença
acrnece#arc;car cran ancre;caner;carne;cerna;crane;encra;nacre;rance cancer;cancre carence
eréncac#rée rené cerné;encré ancrée;carnée;cranée;nacrée carencé;créance
essraca#ses sers rases;seras casser;crases;crasse;ressac;sacres;scares arcasse;caressa;caseras;cassera;recasas
aréssec#réa rasé;réas rasés rasées;réasse caressé;crassée;créasse;écrases;recasés;sacrées
rsuagac#rus;sur ruas;rusa;saur argus;gaurs arguas;raguas carguas
erurgac#rue;ure ruer urger arguer;rageur;raguer;urgera carguer
rsuegac#rus;sur rues;ruse;suer;sure;ures;user grues argues;ragues;usager cargues;curages;sucrage
irsiaca#ris;sir iris irais;irisa;riais cirais;criais cariais
irtaica#rit;tir;tri tari;tira;tria irait;riait;tirai;triai cirait;criait cariait
irtnaca#rit;tir;tri trin nitra;riant;tarin;train cintra;cirant;craint;criant;rancit ancrait;cariant;cranait;crantai;nacrait
irtneca#rit;tir;tri trin inter;nitre;rient;tenir;terni;trine cintre;cirent;crient carient;centrai;cernait;certain;crainte;criante;encrait
eirrcaa#ire;rie rire cirer;cirre;crier carier;cirera;criera cariera
orsinca#ors rois;rosi;soir irons;noirs;orins;rions cirons;crions carions;cornais;rancios
irtseca#rit;tir;tri tirs;tris rites;serti;strie;tiers;tires;tiser;tries cistre cariste;citeras;raciste
eirnlac#ire;rie nier;rein;rien liner lainer;lanier carline;clarine;lancier
irscnal#ris;sir cris crins cairns;crains;rancis carlins;larcins
irsmaac#ris;sir mirs maris;miras;ramis;rimas armais;marais;marias;ramais carmais;cramais;cramsai
artmiac#art;rat tram matir;trima amatir;armait;matira;ramait;tramai carmait;cramait
arésmec#réa rasé;réas armés;ramés armées;marées;ramées carmées;cérames;cramées
artenmc#art;rat rate;tare antre;entra;renta arment;rament carment;crament
aerrmca#are erra;rare armer;marre;ramer carmer;cramer carmera;cramera
irzemac#riz irez;riez mirez;rimez armiez;mariez;ramiez carmiez;cramiez
eirnmac#ire;rie nier;rein;rien miner animer;manier;marine;minera;ranime carmine
irsanmc#ris;sir airs;iras;rais;rias;sari arsin;ranis marins carmins
orsanmc#ors rosa ornas;sonar armons;ramons;romans carmons;cramons
egranca#erg;reg gare;rage grena;nager;range cagner ancrage;cagnera;carnage;garance
acrneau#arc;car cran ancre;caner;carne;cerna;crane;encra;nacre;rance arcane;canera carneau
erésnca#rée rées renés cernés;encrés ancrées;carnées;caserné;cranées;nacrées;sérance
estranc#est;set;tes rets;sert aster;astre;rates;resta;tares;tarse;tersa antres;entras;estran;rasent;rentas;transe canters;cantres;carnets;centras;crantes;encarts;nectars;sacrent;tanrecs
eirrcna#ire;rie rire cirer;cirre;crier rincer carnier;raciner;ricaner;rincera
rsuoalc#rus;sur ours rouas louras;ourlas;roulas carolus;croulas
eruocba#rue;ure euro;roue coeur;coure courbe caroube;corbeau
prueaac#pur peur;puer;pure;repu apure;parue;puera apeura carpeau
eirpcna#ire;rie pire;prie;ripe repic pincer;prince caprine;carpien;pincera
irsarac#ris;sir airs;iras;rais;rias;sari riras arrisa carrais
irtarac#rit;tir;tri tari;tira;tria tarir tarira;traira carrait
erurcaa#rue;ure ruer curer;recru arcure;curare;curera carreau
erércal#rée erré;réer créer acérer;carrée;créera;recréa carrelé;lacérer
arternc#art;rat rate;tare rater;tarer;terra errant;rentra carrent;cranter;rencart
erurcar#rue;ure ruer curer;recru arcure;curare;curera carrure
estralc#est;set;tes rets;sert aster;astre;rates;resta;tares;tarse;tersa artels;ratels cartels
estrarc#est;set;tes rets;sert aster;astre;rates;resta;tares;tarse;tersa terras carters;castrer
irterac#rit;tir;tri rite;tire;trie terri;tirer;trier errait;ratier;retira;terrai;tirera;traire;triera cartier
ostrcna#sot rots;sort;tors trocs troncs cartons;contras;corsant
esuaqca#eus;sue;use seau asque;saque caques;casque;sacque casaque
irsecaa#ris;sir ires;reis;ries;sire cires;cries;crise;scier aciers;caries;casier;craies;sciera caserai;recasai
essraca#ses sers rases;seras casser;crases;crasse;ressac;sacres;scares arcasse;caressa;caseras;cassera;recasas
arsezce#ars;ras ares;rase;sera rasez sacrez caserez;recasez
arscnea#ars;ras arcs;cars crans ancres;carnes;cernas;cranes;encras;nacres;rances arcanes;caneras;caserna;rasance
arscnee#ars;ras arcs;cars crans ancres;carnes;cernas;cranes;encras;nacres;rances caserne;recensa
erésnca#rée rées renés cernés;encrés ancrées;carnées;caserné;cranées;nacrées;sérance
issreca#sis sirs risse;sires crises;crisse casiers;cassier;cirasse;criasse;scieras
irsmaic#ris;sir mirs maris;miras;ramis;rimas mirais;rimais casimir
asuiqca#sua;usa suai;usai quais;quasi acquis caquais;casquai;sacquai
esuaqéc#eus;sue;use seau asque;saque saquée caquées;casquée;sacquée
rsueaqc#rus;sur rues;ruse;suer;sure;ures;user saure;suera;usera arques;raques;saquer;square casquer;craques;sacquer
esuaqsc#eus;sue;use seau asque;saque asques;saques casques;sacques
suéscaq#sué;usé sués;usés sucés causés;saucés casqués;sacqués
esuaqzc#eus;sue;use seau asque;saque saquez casquez;sacquez
cesagas#ces;sec aces;case cages agaces;sagace cassage;sagaces
astisac#tas asti;sait;tais;tisa assit;astis;tisas;tissa tassai cassait
estsaca#est;set;tes sets stase;tasse castes actasse;cassate
estsacn#est;set;tes sets stase;tasse castes cassent;cessant;stances
essraca#ses sers rases;seras casser;crases;crasse;ressac;sacres;scares arcasse;caressa;caseras;cassera;recasas
ssureca#sus surs ruses;russe;sures crusse;sucres casseur;cassure;creusas;curasse;suceras;sucrase
issreca#sis sirs risse;sires crises;crisse casiers;cassier;cirasse;criasse;scieras
essniac#ses sens seins;siens anises;naisse;niasse;saines;sanies canisse;cassine
ssureca#sus surs ruses;russe;sures crusse;sucres casseur;cassure;creusas;curasse;suceras;sucrase
estnica#est;set;tes nets;sent senti;teins;tiens ceints;scient castine;natices
irtsaac#rit;tir;tri tirs;tris sitar;stria;taris;tiras;trais;trias rasait;ratais;tairas;tarais castrai;sacrait
astrsac#tas arts;rats;star;tsar stars;stras;tsars rastas castras
eréstca#rée rées resté;tersé tercés castrée;céraste;écartes;tracées
estrarc#est;set;tes rets;sert aster;astre;rates;resta;tares;tarse;tersa terras carters;castrer
astrsec#tas arts;rats;star;tsar stars;stras;tsars asters;astres;essart;restas;tarses;tasser;tersas;tressa castres;sacrets
ssuelca#sus sues;uses lusse;seuls cluses casuels;clauses;culasse
irtecaa#rit;tir;tri rite;tire;trie citer citera acterai;cataire
artechc#art;rat rate;tare acter;carte;recta;trace archet;charte;tacher catcher
artecha#art;rat rate;tare acter;carte;recta;trace archet;charte;tacher cathare;racheta;tachera
ostnica#sot sont;tons oints;tison citons;tocsin aconits;actions;cations;contais
lsuecaa#lus lues;seul cluse;cules casuel;clause acaules;causale
suéseca#sué;usé sués;usés suées;usées sucées causées;saucées
stuenca#sut;tus tues suent;tenus;tunes;usent sucent causent;saucent
rsuecaa#rus;sur rues;ruse;suer;sure;ures;user crues;cures;sucer;sucre causer;creusa;saucer;sucera causera;recausa;saucera
esuzica#eus;sue;use suez;usez suiez;usiez cuisez;suciez causiez;sauciez
rtueacè#rut tuer autre;taure;tuera;urate acteur;cureta cautère
asvleca#vas vals laves;levas;salve;slave;valse claves cavales
erviaca#ver ivre;rive;vire ravie;varie;vraie crevai;varice avarice;caverai
ervsaca#ver vers avers;raves;sevra;versa craves;crevas caveras
asvriac#vas vars ravis;rivas;vairs;viras;vrais ravisa;varias caviars
osvinac#vos vois ovins;ovnis;vison avions;novais cavions;convias
erésadc#rée rées rasée dérase;radées cadrées;cardées;céderas;recédas
arétscd#réa raté;taré ratés;stéra;tarés castré;cérats;écarts;tracés cédrats
eirnadc#ire;rie nier;rein;rien arien;niera;raine;renia draine;radine ceindra;cendrai
eirnedc#ire;rie nier;rein;rien reine;renie denier ceindre
estniec#est;set;tes nets;sent senti;teins;tiens sentie ceintes;escient;inceste;insecte
estléca#est;set;tes lest;tels lesté sélect caletés;caltées;célesta;éclates;lactées
nosilec#nos;son ions;soin linos;lions;nolis;solin insole;nolise celions;conseil
eirnadc#ire;rie nier;rein;rien arien;niera;raine;renia draine;radine ceindra;cendrai
dernsac#der rend rends danser;darnes;redans;sandre cendras;scander
rsuecen#rus;sur rues;ruse;suer;sure;ures;user crues;cures;sucer;sucre creuse censeur;censure
irsenec#ris;sir ires;reis;ries;sire reins;riens;serin reines;renies;serein;serine censier;encires
rsuenac#rus;sur rues;ruse;suer;sure;ures;user nurse;urnes nueras;sauner;uranes censura
rsuecen#rus;sur rues;ruse;suer;sure;ures;user crues;cures;sucer;sucre creuse censeur;censure
suérecn#sué;usé rués;rusé ruées;rusée;urées céruse;césure;creusé;curées;écrues;écures;récuse;sucrée censuré;cénures
irtneca#rit;tir;tri trin inter;nitre;rient;tenir;terni;trine cintre;cirent;crient carient;centrai;cernait;certain;crainte;criante;encrait
artencl#art;rat rate;tare antre;entra;renta canter;cantre;carnet;centra;crante;encart;nectar;tancer;tanrec central;raclent
estranc#est;set;tes rets;sert aster;astre;rates;resta;tares;tarse;tersa antres;entras;estran;rasent;rentas;transe canters;cantres;carnets;centras;crantes;encarts;nectars;sacrent;tanrecs
enétrec#née enté entré;réent;renté entrée;rentée centrée;récente
enterrc#net ente enter;entre;rente;terne entrer;errent;renter;rentre centrer
estrenc#est;set;tes rets;sert ester;reste;serte;terse entres;rentes;sterne;ternes centres;tenrecs
suérecn#sué;usé rués;rusé ruées;rusée;urées céruse;césure;creusé;curées;écrues;écures;récuse;sucrée censuré;cénures
arésmec#réa rasé;réas armés;ramés armées;marées;ramées carmées;cérames;cramées
eréstca#rée rées resté;tersé tercés castrée;céraste;écartes;tracées
eirlacc#ire;rie lier;lire;riel liera;relia calier;claire cerclai
arselcc#ars;ras ares;rase;sera laser;saler racles;sarcle carcels;cerclas
stéirec#tés tisé strié;tirés;triés étiers;étires;striée;tirées;triées cérites;écrites;récites;tiercés
irtéehc#rit;tir;tri tiré;trié étier;étire;tirée;triée hérite;théier cérithe
irsenca#ris;sir ires;reis;ries;sire reins;riens;serin rinces arsenic;cernais;enciras;encrais;racines;rancies;ricanes
irtneca#rit;tir;tri trin inter;nitre;rient;tenir;terni;trine cintre;cirent;crient carient;centrai;cernait;certain;crainte;criante;encrait
artennc#art;rat rate;tare antre;entra;renta tanner ancrent;cernant;cranent;encrant;nacrent
entercn#net ente enter;entre;rente;terne centre;tenrec cernent;encrent
aerrnce#are erra;rare narre ancrer;craner;nacrer cernera;encrera;errance
eirnezc#ire;rie nier;rein;rien reine;renie nierez;reniez cerniez;encirez;encriez
orsennc#ors ores;oser;rose;sore ornes sonner cernons;encrons
irtneca#rit;tir;tri trin inter;nitre;rient;tenir;terni;trine cintre;cirent;crient carient;centrai;cernait;certain;crainte;criante;encrait
suésrec#sué;usé sués;usés rusés ressué;rusées céruses;césures;creusés;récuses;sucrées
estsica#est;set;tes sets sites;tises;tisse cistes ascites;cessait;citasse
estsacn#est;set;tes sets stase;tasse castes cassent;cessant;stances
estnesc#est;set;tes nets;sent entes;sente sentes cessent
suésrec#sué;usé sués;usés rusés ressué;rusées céruses;césures;creusés;récuses;sucrées
noétsec#éon;néo noté notés;séton;sténo notées cétones;contées
